Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 0.3429793658782084; Second score: 2.883751542859308; Combined: 0.6130460230457648; Selected
		 Property: description; First score: 0.3140412682435833; Second score: 2.8801571204354843; Combined: 0.5663318834847885; Selected
		 Property: manufacturer; First score: 0.3429793658782084; Second score: 0.5830600500124459; Combined: 0.4318986055898042
Tgt (score): 
		 Property: name; First score: 0.4968427537347913; Second score: 2.567847028581381; Combined: 0.8325907543476474; Selected
		 Property: description; First score: 0.4674264592638226; Second score: 2.3994770983154323; Combined: 0.7824323780861664; Selected
		 Property: manufacturer; First score: 0.035730787001386106; Second score: 0.7191463173469989; Combined: 0.06807906542651736
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.67; Sing.: 0.7403; P: 0.17973807014902907; R: 0.9184615384615384; F1: 0.3006420747828277; Conf.: 0.7136522753792298; Links: 6643
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.68; Sing.: 0.7334; P: 0.16540421429555158; R: 0.9238461538461539; F1: 0.28057469921738115; Conf.: 0.7136522753792298; Links: 7261
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.69; Sing.: 0.7264; P: 0.15115842204132748; R: 0.9284615384615384; F1: 0.2599892299407647; Conf.: 0.7136522753792298; Links: 7985
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.7; Sing.: 0.7186; P: 0.13798185941043084; R: 0.9361538461538461; F1: 0.24051383399209486; Conf.: 0.7136522753792298; Links: 8820
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.71; Sing.: 0.7098; P: 0.1242914979757085; R: 0.9446153846153846; F1: 0.21967799642218247; Conf.: 0.7136522753792298; Links: 9880
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.72; Sing.: 0.7026; P: 0.11387506909894969; R: 0.9507692307692308; F1: 0.2033898305084746; Conf.: 0.7136522753792298; Links: 10854
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.73; Sing.: 0.694; P: 0.10168377823408624; R: 0.9523076923076923; F1: 0.18374768089053803; Conf.: 0.7136522753792298; Links: 12175
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.74; Sing.: 0.6865; P: 0.09132186012449652; R: 0.9592307692307692; F1: 0.16676696756937479; Conf.: 0.7136522753792298; Links: 13655
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.75; Sing.: 0.6779; P: 0.08126909823808595; R: 0.9615384615384616; F1: 0.14987111084467358; Conf.: 0.7136522753792298; Links: 15381
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.76; Sing.: 0.6698; P: 0.07140826653021776; R: 0.9661538461538461; F1: 0.13298745301498227; Conf.: 0.7136522753792298; Links: 17589
