Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 0.3333333333333333; Second score: 2.6978505187429582; Combined: 0.5933546430261326; Selected
		 Property: authors; First score: 0.3333333333333333; Second score: 2.1372537270420935; Combined: 0.5767195339441089; Selected
		 Property: venue; First score: 0.3333333333333333; Second score: 0.005372684142708243; Combined: 0.010574921151867402
Tgt (score): 
		 Property: title; First score: 0.3650190114068441; Second score: 3.136090920692447; Combined: 0.6539256577223478; Selected
		 Property: authors; First score: 0.3643852978453739; Second score: 3.128704715608163; Combined: 0.6527481371944157; Selected
		 Property: venue; First score: 0.270595690747782; Second score: 1.7685170576338705; Combined: 0.46937384427563134
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.71; Sing.: 0.6898; P: 0.035398230088495575; R: 0.008228913409388442; F1: 0.013353566009104704; Conf.: 0.08518673940411246; Links: 1243
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.72; Sing.: 0.68; P: 0.029490616621983913; R: 0.008228913409388442; F1: 0.012867378271677147; Conf.: 0.08518673940411246; Links: 1492
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.73; Sing.: 0.6714; P: 0.024471635150166853; R: 0.008228913409388442; F1: 0.01231630510846746; Conf.: 0.08518673940411246; Links: 1798
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.74; Sing.: 0.6631; P: 0.020599250936329586; R: 0.008228913409388442; F1: 0.011759989309100627; Conf.: 0.08518673940411246; Links: 2136
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.75; Sing.: 0.6546; P: 0.017207665232694565; R: 0.008228913409388442; F1: 0.011133603238866396; Conf.: 0.08518673940411246; Links: 2557
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.76; Sing.: 0.6453; P: 0.01414790996784566; R: 0.008228913409388442; F1: 0.010405581175357692; Conf.: 0.08518673940411246; Links: 3110
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.77; Sing.: 0.6371; P: 0.011891891891891892; R: 0.008228913409388442; F1: 0.009726981319774512; Conf.: 0.08518673940411246; Links: 3700
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.78; Sing.: 0.6286; P: 0.009952499434517077; R: 0.008228913409388442; F1: 0.009009009009009009; Conf.: 0.08518673940411246; Links: 4421
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.79; Sing.: 0.619; P: 0.008289374529012811; R: 0.008228913409388442; F1: 0.008259033317691225; Conf.: 0.08518673940411246; Links: 5308
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.8; Sing.: 0.6105; P: 0.006947734091267962; R: 0.008228913409388442; F1: 0.007534246575342466; Conf.: 0.08518673940411246; Links: 6333
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.81; Sing.: 0.6015; P: 0.005772763054316453; R: 0.008228913409388442; F1: 0.006785411365564037; Conf.: 0.08518673940411246; Links: 7622
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.82; Sing.: 0.5934; P: 0.0048330404217926184; R: 0.008228913409388442; F1: 0.006089543976195419; Conf.: 0.08518673940411246; Links: 9104
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.83; Sing.: 0.5848; P: 0.004023408924652524; R: 0.008228913409388442; F1: 0.005404409506847632; Conf.: 0.08518673940411246; Links: 10936
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.84; Sing.: 0.5781; P: 0.003393228965836354; R: 0.008228913409388442; F1: 0.0048050671617341926; Conf.: 0.08518673940411246; Links: 12967
