Source types: {}
Target types: {}
Src (score): 
		 Property: description; First score: 0.5; Second score: 2.9833684400517555; Combined: 0.8564607768012702; Selected
		 Property: name; First score: 0.5; Second score: 2.9833684400517555; Combined: 0.8564607768012702; Selected
Tgt (score): 
		 Property: name; First score: 0.3860021208907741; Second score: 2.932911135960467; Combined: 0.6822172387469859; Selected
		 Property: description; First score: 0.2301166489925769; Second score: 2.513680399091957; Combined: 0.42163447218603706; Selected
		 Property: manufacturer; First score: 0.383881230116649; Second score: 0.22880073899906386; Combined: 0.2867141961606209
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.56; Sing.: 0.7653; P: 0.1953232462173315; R: 0.7766636280765725; F1: 0.3121450815167613; Conf.: 0.4920863309352518; Links: 4362
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.57; Sing.: 0.7597; P: 0.18252467968914093; R: 0.7921604375569735; F1: 0.29668828951860704; Conf.: 0.4920863309352518; Links: 4761
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.58; Sing.: 0.7546; P: 0.17148960963293844; R: 0.804922515952598; F1: 0.28274095421069484; Conf.: 0.4920863309352518; Links: 5149
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.59; Sing.: 0.7475; P: 0.16135422294255358; R: 0.8167730173199635; F1: 0.2694736842105263; Conf.: 0.4920863309352518; Links: 5553
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.6; Sing.: 0.7418; P: 0.15042337705462394; R: 0.8258887876025525; F1: 0.25449438202247193; Conf.: 0.4920863309352518; Links: 6023
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.61; Sing.: 0.7368; P: 0.14310130515848354; R: 0.8395624430264357; F1: 0.24452409398645958; Conf.: 0.4920863309352518; Links: 6436
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.62; Sing.: 0.7304; P: 0.13265598168288495; R: 0.845031905195989; F1: 0.22931354359925787; Conf.: 0.4920863309352518; Links: 6988
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.63; Sing.: 0.7248; P: 0.12359846985885767; R: 0.854147675478578; F1: 0.21594837520165938; Conf.: 0.4920863309352518; Links: 7581
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.64; Sing.: 0.7181; P: 0.11518956773726154; R: 0.8696444849589791; F1: 0.20343320183388422; Conf.: 0.4920863309352518; Links: 8282
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.65; Sing.: 0.7127; P: 0.10844723280304727; R: 0.8824065633546034; F1: 0.1931557417938741; Conf.: 0.4920863309352518; Links: 8926
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.66; Sing.: 0.7067; P: 0.10177722669973135; R: 0.8979033728350045; F1: 0.182830626450116; Conf.: 0.4920863309352518; Links: 9678
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.67; Sing.: 0.7009; P: 0.09472880061115355; R: 0.9042844120328167; F1: 0.17149278243581986; Conf.: 0.4920863309352518; Links: 10472
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.68; Sing.: 0.6954; P: 0.08814723494188094; R: 0.9124886052871468; F1: 0.16076447442383363; Conf.: 0.4920863309352518; Links: 11356
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.69; Sing.: 0.6896; P: 0.08189027350703998; R: 0.9225159525979946; F1: 0.15042735042735042; Conf.: 0.4920863309352518; Links: 12358
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.7; Sing.: 0.6838; P: 0.07542272322752892; R: 0.927073837739289; F1: 0.1394966051711131; Conf.: 0.4920863309352518; Links: 13484
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.71; Sing.: 0.6781; P: 0.06921934089681253; R: 0.9343664539653601; F1: 0.12889028607356176; Conf.: 0.4920863309352518; Links: 14808
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.72; Sing.: 0.6733; P: 0.06438920809392955; R: 0.9398359161349134; F1: 0.12052136302530832; Conf.: 0.4920863309352518; Links: 16012
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.73; Sing.: 0.6675; P: 0.058783477076713574; R: 0.9443938012762079; F1: 0.1106778484055339; Conf.: 0.4920863309352518; Links: 17624
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.74; Sing.: 0.6623; P: 0.05368573198430725; R: 0.9480401093892434; F1: 0.10161707948605207; Conf.: 0.4920863309352518; Links: 19372
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.75; Sing.: 0.6575; P: 0.04891481913652276; R: 0.9553327256153145; F1: 0.09306455909777107; Conf.: 0.4920863309352518; Links: 21425
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.76; Sing.: 0.6521; P: 0.04421397379912664; R: 0.959890610756609; F1: 0.08453417894272067; Conf.: 0.4920863309352518; Links: 23816
